,Symbol,Prev Close,Open,High,Low,Close,Volume
0,TCS,850,1199,1199,979,988,17116372
1,TCS,988,992,997,975,979,5055400
2,TCS,979,982,982,959,963,3830750
3,TCS,963,970,990,965,987,3058151
4,TCS,987,986,990,976,988,2649332
5,TCS,988,990,995,984,988,2491943
6,TCS,988,990,1005,986,994,2669544
7,TCS,994,1006,1100,990,998,1233732
8,TCS,998,1040,1040,993,995,1129834
9,TCS,995,1035,1035,995,996,721529
10,TCS,996,996,1001,991,994,824248
11,TCS,994,997,998,978,980,993398
12,TCS,980,990,990,976,989,801884
13,TCS,989,991,1016,991,1004,2613114
14,TCS,1004,1005,1019,1003,1016,1916934
15,TCS,1016,1018,1020,1001,1006,1498536
16,TCS,1006,1007,1015,1002,1008,919778
17,TCS,1008,1012,1030,1010,1024,1828487
18,TCS,1024,1032,1037,1020,1023,1069028
19,TCS,1023,1025,1048,1022,1046,1737135
20,TCS,1046,1048,1056,1037,1052,1921448
21,TCS,1052,1048,1049,1027,1030,1977460
22,TCS,1030,1029,1040,1026,1029,1010401
23,TCS,1029,1028,1032,1015,1021,1028689
24,TCS,1021,1016,1027,1012,1016,792427
25,TCS,1016,1019,1033,1016,1031,1467147
26,TCS,1031,1036,1041,1021,1027,1565179
27,TCS,1027,1029,1056,1026,1048,1371111
28,TCS,1048,1057,1081,1054,1076,1891228
29,TCS,1076,1080,1089,1076,1081,1792661
30,TCS,1081,1081,1103,1075,1082,2208833
31,TCS,1082,1083,1100,1083,1097,1260016
32,TCS,1097,1098,1111,1095,1098,1069865
33,TCS,1098,1100,1104,1094,1101,258539
34,TCS,1101,1100,1112,1085,1089,1166507
35,TCS,1089,1110,1115,1078,1084,1950064
36,TCS,1084,1103,1124,1088,1116,2403248
37,TCS,1116,1122,1141,1117,1126,2224968
38,TCS,1126,1134,1142,1125,1137,1711668
39,TCS,1137,1140,1149,1136,1143,1470891
40,TCS,1143,1145,1150,1129,1133,900854
41,TCS,1133,1137,1139,1122,1126,801690
42,TCS,1126,1125,1127,1111,1117,1173784
43,TCS,1117,1116,1141,1116,1137,866595
44,TCS,1137,1142,1148,1135,1140,979707
45,TCS,1140,1145,1175,1145,1166,2323927
46,TCS,1166,1168,1168,1145,1156,1082722
47,TCS,1156,1150,1174,1142,1171,767196
48,TCS,1171,1130,1180,1125,1160,1108005
49,TCS,1160,1161,1184,1161,1175,1122267
50,TCS,1175,1182,1188,1168,1170,819476
51,TCS,1170,1174,1180,1160,1165,627981
52,TCS,1165,1165,1189,1156,1184,1286466
53,TCS,1184,1187,1198,1177,1188,917339
54,TCS,1188,1191,1199,1190,1194,716799
55,TCS,1194,1199,1203,1191,1196,654391
56,TCS,1196,1204,1208,1190,1197,226676
57,TCS,1197,1198,1198,1184,1191,500688
58,TCS,1191,1192,1210,1192,1205,683492
59,TCS,1205,1209,1235,1206,1231,934016
60,TCS,1231,1233,1237,1211,1217,851595
61,TCS,1217,1208,1226,1195,1222,592284
62,TCS,1222,1231,1242,1224,1236,539099
63,TCS,1236,1239,1245,1230,1234,402913
64,TCS,1234,1234,1244,1209,1217,788859
65,TCS,1217,1216,1248,1206,1244,660186
66,TCS,1244,1248,1286,1245,1275,1313518
67,TCS,1275,1281,1281,1257,1262,1060233
68,TCS,1262,1265,1277,1239,1243,1207213
69,TCS,1243,1249,1256,1222,1237,1222152
70,TCS,1237,1240,1250,1208,1215,1434234
71,TCS,1215,1216,1233,1215,1218,982903
72,TCS,1218,1218,1227,1196,1201,916176
73,TCS,1201,1205,1217,1205,1211,475153
74,TCS,1211,1220,1236,1214,1226,777101
75,TCS,1226,1226,1242,1225,1236,624529
76,TCS,1236,1242,1245,1230,1233,385438
77,TCS,1233,1244,1255,1238,1246,721584
78,TCS,1246,1248,1265,1238,1263,543808
79,TCS,1263,1260,1275,1252,1256,688719
80,TCS,1256,1260,1268,1256,1263,283553
81,TCS,1263,1265,1277,1263,1273,432314
82,TCS,1273,1275,1275,1230,1240,750214
83,TCS,1240,1248,1248,1225,1228,493614
84,TCS,1228,1233,1272,1222,1268,832732
85,TCS,1268,1270,1285,1262,1271,550063
86,TCS,1271,1272,1314,1266,1309,1201806
87,TCS,1309,1317,1337,1313,1320,829153
88,TCS,1320,1318,1328,1292,1297,703349
89,TCS,1297,1300,1339,1297,1335,612414
90,TCS,1335,1335,1357,1335,1353,591771
91,TCS,1353,1350,1354,1333,1341,622388
92,TCS,1341,1340,1340,1280,1325,1200540
93,TCS,1325,1320,1346,1292,1320,1000861
94,TCS,1320,1330,1345,1313,1340,952892
95,TCS,1340,1349,1359,1322,1327,940196
96,TCS,1327,1330,1335,1301,1314,998297
97,TCS,1314,1326,1368,1287,1298,2590004
98,TCS,1298,1310,1339,1275,1293,3469744
99,TCS,1293,1305,1318,1277,1296,1969722
100,TCS,1296,1310,1310,1240,1263,1706398
101,TCS,1263,1275,1284,1258,1264,772908
102,TCS,1264,1266,1274,1251,1255,442311
103,TCS,1255,1255,1255,1230,1244,567025
104,TCS,1244,1244,1247,1215,1221,453524
105,TCS,1221,1215,1240,1207,1235,558241
106,TCS,1235,1243,1254,1235,1241,681918
107,TCS,1241,1243,1295,1242,1289,1049227
108,TCS,1289,1298,1312,1290,1300,731673
109,TCS,1300,1307,1320,1287,1315,1002480
110,TCS,1315,1319,1323,1303,1309,608807
111,TCS,1309,1312,1315,1302,1311,415952
112,TCS,1311,1310,1322,1301,1306,335505
113,TCS,1306,1313,1331,1301,1314,743027
114,TCS,1314,1314,1323,1308,1316,410554
115,TCS,1316,1321,1344,1321,1333,692242
116,TCS,1333,1330,1344,1323,1333,547081
117,TCS,1333,1338,1387,1338,1382,1295887
118,TCS,1382,1391,1418,1391,1410,1109408
119,TCS,1410,1410,1415,1374,1381,497090
120,TCS,1381,1399,1399,1361,1368,390854
121,TCS,1368,1368,1386,1351,1382,515622
122,TCS,1382,1380,1392,1355,1375,318143
123,TCS,1375,1371,1376,1345,1366,222144
124,TCS,1366,1365,1370,1351,1363,267380
125,TCS,1363,1363,1382,1355,1375,645852
126,TCS,1375,1375,1396,1361,1368,1350805
127,TCS,1368,1377,1379,1353,1364,633862
128,TCS,1364,1379,1385,1340,1381,800301
129,TCS,1381,1381,1440,1351,1357,619769
130,TCS,1357,1375,1375,1362,1368,332264
131,TCS,1368,1370,1395,1364,1390,361395
132,TCS,1390,1394,1404,1382,1392,502234
133,TCS,1392,1395,1408,1394,1400,457254
134,TCS,1400,1404,1421,1395,1414,628460
135,TCS,1414,1409,1426,1395,1408,677761
136,TCS,1408,1410,1410,1390,1400,287785
137,TCS,1400,1406,1435,1405,1427,650718
138,TCS,1427,1428,1460,1420,1452,816754
139,TCS,1452,1451,1462,1430,1443,518310
140,TCS,1443,1440,1468,1440,1452,684177
141,TCS,1452,1448,1474,1440,1461,850666
142,TCS,1461,1459,1472,1425,1469,765433
143,TCS,1469,1470,1475,1445,1456,544265
144,TCS,1456,1455,1457,1440,1444,335554
145,TCS,1444,1440,1448,1413,1421,429927
146,TCS,1421,1430,1438,1378,1384,744322
147,TCS,1384,1391,1409,1384,1392,462466
148,TCS,1392,1395,1398,1362,1371,381675
149,TCS,1371,1371,1400,1360,1391,514407
150,TCS,1391,1404,1445,1397,1432,864330
151,TCS,1432,1433,1457,1414,1451,695334
152,TCS,1451,1452,1457,1423,1428,657170
153,TCS,1428,1429,1442,1416,1425,420979
154,TCS,1425,1427,1448,1427,1441,244176
155,TCS,1441,1441,1450,1422,1425,310402
156,TCS,1425,1431,1435,1390,1394,506535
157,TCS,1394,1397,1400,1360,1364,352874
158,TCS,1364,1399,1399,1365,1382,514087
159,TCS,1382,1394,1407,1386,1402,579825
160,TCS,1402,1395,1395,1315,1319,1232810
161,TCS,1319,1300,1349,1291,1319,753038
162,TCS,1319,1330,1349,1178,1209,3404394
163,TCS,1209,1200,1200,1093,1116,5937282
164,TCS,1116,1125,1148,1110,1142,1656542
165,TCS,1142,1160,1172,1140,1167,1619834
166,TCS,1167,1165,1168,1148,1157,860073
167,TCS,1157,1157,1164,1134,1137,692375
168,TCS,1137,1141,1141,1111,1116,817171
169,TCS,1116,1115,1130,1097,1115,1091109
170,TCS,1115,1129,1145,1117,1131,1383213
171,TCS,1131,1150,1178,1118,1129,641200
172,TCS,1129,1130,1135,1105,1109,687881
173,TCS,1109,1106,1124,1106,1121,599018
174,TCS,1121,1150,1150,1126,1137,811883
175,TCS,1137,1140,1172,1132,1168,1023583
176,TCS,1168,1170,1182,1166,1175,592380
177,TCS,1175,1178,1178,1146,1152,884494
178,TCS,1152,1148,1153,1138,1149,401661
179,TCS,1149,1159,1162,1143,1147,451118
180,TCS,1147,1149,1151,1140,1149,298594
181,TCS,1149,1145,1159,1142,1154,721900
182,TCS,1154,1161,1165,1144,1151,583322
183,TCS,1151,1154,1154,1123,1143,573528
184,TCS,1143,1153,1172,1153,1162,457431
185,TCS,1162,1165,1175,1147,1170,408202
186,TCS,1170,1170,1235,1170,1224,1295252
187,TCS,1224,1245,1245,1205,1235,766107
188,TCS,1235,1230,1269,1215,1261,986809
189,TCS,1261,1258,1296,1251,1290,1222762
190,TCS,1290,1283,1299,1255,1269,920435
191,TCS,1269,1269,1333,1264,1319,2236648
192,TCS,1319,1320,1343,1306,1334,1295696
193,TCS,1334,1330,1330,1298,1304,941261
194,TCS,1304,1308,1309,1265,1269,1384578
195,TCS,1269,1269,1297,1261,1293,818566
196,TCS,1293,1290,1294,1278,1282,169770
197,TCS,1282,1295,1302,1270,1280,724064
198,TCS,1280,1289,1289,1269,1278,462274
199,TCS,1278,1280,1296,1276,1292,604064
200,TCS,1292,1294,1299,1271,1277,449792
201,TCS,1277,1280,1300,1261,1266,830328
202,TCS,1266,1275,1283,1260,1272,323754
203,TCS,1272,1277,1280,1260,1266,431548
204,TCS,1266,1270,1278,1266,1272,348884
205,TCS,1272,1278,1288,1265,1278,574194
206,TCS,1278,1283,1286,1263,1268,383499
207,TCS,1268,1275,1302,1270,1296,801584
208,TCS,1296,1300,1312,1283,1305,1307943
209,TCS,1305,1309,1339,1309,1333,1442172
210,TCS,1333,1330,1338,1305,1307,459618
211,TCS,1307,1300,1338,1295,1326,752665
212,TCS,1326,1320,1333,1308,1316,443516
213,TCS,1316,1318,1328,1314,1324,722014
214,TCS,1324,1325,1358,1322,1333,805830
215,TCS,1333,1339,1365,1339,1358,898625
216,TCS,1358,1350,1357,1340,1352,602571
217,TCS,1352,1359,1372,1331,1359,493956
218,TCS,1359,1370,1370,1313,1320,648422
219,TCS,1320,1326,1333,1316,1323,382152
220,TCS,1323,1323,1340,1303,1310,436111
221,TCS,1310,1311,1329,1294,1311,761000
222,TCS,1311,1311,1330,1311,1326,473908
223,TCS,1326,1319,1321,1272,1286,768825
224,TCS,1286,1285,1300,1267,1271,808730
225,TCS,1271,1279,1288,1216,1225,1107551
226,TCS,1225,1231,1262,1215,1248,1167715
227,TCS,1248,1252,1479,1252,1322,1809451
228,TCS,1322,1348,1358,1260,1319,584718
229,TCS,1319,1335,1335,1305,1308,436788
230,TCS,1308,1321,1321,1280,1290,524873
231,TCS,1290,1285,1298,1270,1294,647412
232,TCS,1294,1297,1302,1275,1284,679128
233,TCS,1284,1286,1292,1260,1265,653710
